season,team
1,Chennai Super Kings
1,Deccan Chargers
1,Delhi Daredevils
1,Kings XI Punjab
1,Kolkata Knight Riders
1,Mumbai Indians
1,Rajasthan Royals
1,Royal Challengers Bangalore
2,Chennai Super Kings
2,Deccan Chargers
2,Delhi Daredevils
2,Kings XI Punjab
2,Kolkata Knight Riders
2,Mumbai Indians
2,Rajasthan Royals
2,Royal Challengers Bangalore
3,Chennai Super Kings
3,Deccan Chargers
3,Delhi Daredevils
3,Kings XI Punjab
3,Kolkata Knight Riders
3,Mumbai Indians
3,Rajasthan Royals
3,Royal Challengers Bangalore
4,Chennai Super Kings
4,Deccan Chargers
4,Delhi Daredevils
4,Kings XI Punjab
4,Kochi Tuskers Kerala
4,Kolkata Knight Riders
4,Mumbai Indians
4,Pune Warriors
4,Rajasthan Royals
4,Royal Challengers Bangalore
5,Chennai Super Kings
5,Deccan Chargers
5,Delhi Daredevils
5,Kings XI Punjab
5,Kolkata Knight Riders
5,Mumbai Indians
5,Pune Warriors
5,Rajasthan Royals
5,Royal Challengers Bangalore
6,Chennai Super Kings
6,Delhi Daredevils
6,Kings XI Punjab
6,Kolkata Knight Riders
6,Mumbai Indians
6,Pune Warriors
6,Rajasthan Royals
6,Royal Challengers Bangalore
6,Sunrisers Hyderabad
7,Chennai Super Kings
7,Delhi Daredevils
7,Kings XI Punjab
7,Kolkata Knight Riders
7,Mumbai Indians
7,Rajasthan Royals
7,Royal Challengers Bangalore
7,Sunrisers Hyderabad
8,Chennai Super Kings
8,Delhi Daredevils
8,Kings XI Punjab
8,Kolkata Knight Riders
8,Mumbai Indians
8,Rajasthan Royals
8,Royal Challengers Bangalore
8,Sunrisers Hyderabad
9,Delhi Daredevils
9,Gujarat Lions
9,Kings XI Punjab
9,Kolkata Knight Riders
9,Mumbai Indians
9,Rising Pune Supergiants
9,Royal Challengers Bangalore
9,Sunrisers Hyderabad
10,Delhi Daredevils
10,Gujarat Lions
10,Kings XI Punjab
10,Kolkata Knight Riders
10,Mumbai Indians
10,Rising Pune Supergiant
10,Royal Challengers Bangalore
10,Sunrisers Hyderabad
11,Chennai Super Kings
11,Delhi Daredevils
11,Kings XI Punjab
11,Kolkata Knight Riders
11,Mumbai Indians
11,Rajasthan Royals
11,Royal Challengers Bangalore
11,Sunrisers Hyderabad
12,Chennai Super Kings
12,Delhi Capitals
12,Kings XI Punjab
12,Kolkata Knight Riders
12,Mumbai Indians
12,Rajasthan Royals
12,Royal Challengers Bangalore
12,Sunrisers Hyderabad
13,Chennai Super Kings
13,Delhi Capitals
13,Kings XI Punjab
13,Kolkata Knight Riders
13,Mumbai Indians
13,Rajasthan Royals
13,Royal Challengers Bangalore
13,Sunrisers Hyderabad
14,Chennai Super Kings
14,Delhi Capitals
14,Kolkata Knight Riders
14,Mumbai Indians
14,Punjab Kings
14,Rajasthan Royals
14,Royal Challengers Bangalore
14,Sunrisers Hyderabad
15,Chennai Super Kings
15,Delhi Capitals
15,Gujarat Titans
15,Kolkata Knight Riders
15,Lucknow Super Giants
15,Mumbai Indians
15,Punjab Kings
15,Rajasthan Royals
15,Royal Challengers Bangalore
15,Sunrisers Hyderabad
16,Chennai Super Kings
16,Delhi Capitals
16,Gujarat Titans
16,Kolkata Knight Riders
16,Lucknow Super Giants
16,Mumbai Indians
16,Punjab Kings
16,Rajasthan Royals
16,Royal Challengers Bangalore
16,Sunrisers Hyderabad
17,Chennai Super Kings
17,Delhi Capitals
17,Gujarat Titans
17,Kolkata Knight Riders
17,Lucknow Super Giants
17,Mumbai Indians
17,Punjab Kings
17,Rajasthan Royals
17,Royal Challengers Bengaluru
17,Sunrisers Hyderabad
18,Chennai Super Kings
18,Delhi Capitals
18,Gujarat Titans
18,Kolkata Knight Riders
18,Lucknow Super Giants
18,Mumbai Indians
18,Punjab Kings
18,Rajasthan Royals
18,Royal Challengers Bengaluru
18,Sunrisers Hyderabad
